nom_humed,comuna,pctl_empirico,expo_met,twi,acc_topo,expo_suelo,prox_drenaje,susc_acumulacion,prioridad_inundacion,clase_prioridad,suelo_fuente,cuenca
Estero San Jeronimo,Casablanca,87.5,0.75,0.309,0.0,0.0,1.0,0.327,0.245,Baja,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Casablanca,87.5,0.75,1.0,0.242,0.0,1.0,0.56,0.42,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Casablanca,87.5,0.75,0.262,0.0,0.0,1.0,0.316,0.237,Baja,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Casablanca,87.5,0.75,0.177,0.0,0.0,1.0,0.294,0.221,Muy Baja,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Casablanca,87.5,0.75,1.0,0.138,0.379,1.0,0.629,0.472,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Casablanca,87.5,0.75,0.978,0.371,0.379,1.0,0.682,0.511,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Algarrobo,81.2,0.624,0.327,0.0,0.0,1.0,0.332,0.207,Muy Baja,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Algarrobo,81.2,0.624,1.0,0.0,0.0,1.0,0.5,0.312,Moderada,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Algarrobo,87.5,0.75,1.0,0.337,0.0,1.0,0.584,0.438,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Algarrobo,87.5,0.75,0.228,0.0,0.0,1.0,0.307,0.23,Baja,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Algarrobo,87.5,0.75,1.0,0.142,0.0,1.0,0.536,0.402,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Algarrobo,87.5,0.75,1.0,0.117,0.0,1.0,0.529,0.397,Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Algarrobo,87.5,0.75,1.0,0.665,0.379,1.0,0.761,0.571,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero Cartagena,Cartagena,81.2,0.624,0.549,0.077,0.329,1.0,0.489,0.305,Moderada,CIREN,Costeras entre Aconcagua y Maipo
