nom_humed,comuna,cuenca,acuifero,sobre_acuifero
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Cuencas Costeras V Sur,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,San Antonio,Rio Maipo,Rio Maipo,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Cuencas Costeras V Sur,True
